2022-05-24 18:07:30.931 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-05-24 18:07:33.139 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService
2022-05-24 18:07:34.229 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2022-05-24 18:07:34.273 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-05-24 18:07:34.362 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2022-05-24 18:07:34.613 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8002"]
2022-05-24 18:07:34.647 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8002 (http) with context path ''
2022-05-24 18:07:34.665 [main] INFO  o.s.c.alibaba.nacos.registry.NacosServiceRegistry - nacos registry, service-oss 192.168.1.8:8002 register finished
2022-05-24 18:07:34.984 [main] INFO  com.tzl.oss.OssApplication - Started OssApplication in 11.822 seconds (JVM running for 13.173)
2022-05-24 18:49:25.607 [http-nio-8002-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-24 18:49:25.610 [http-nio-8002-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-05-24 18:49:25.636 [http-nio-8002-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 25 ms
2022-05-24 18:49:27.119 [http-nio-8002-exec-2] INFO  com.tzl.oss.serivce.impl.OssServiceImpl - fileName => cover/2022/05/24/8b6a9607078b41ad96c82b682f8d5c90avatar.jpg
2022-05-24 18:49:27.120 [http-nio-8002-exec-2] INFO  com.tzl.oss.serivce.impl.OssServiceImpl - url =>http://guli-tzl.oss-cn-shanghai.aliyuncs.com/cover/2022/05/24/8b6a9607078b41ad96c82b682f8d5c90avatar.jpg
2022-05-24 18:49:57.544 [http-nio-8002-exec-3] INFO  com.tzl.oss.serivce.impl.OssServiceImpl - fileName => cover/2022/05/24/1ea9d0282381c14154417e7c77e951ec - 副本.jpg
2022-05-24 18:49:57.545 [http-nio-8002-exec-3] INFO  com.tzl.oss.serivce.impl.OssServiceImpl - url =>http://guli-tzl.oss-cn-shanghai.aliyuncs.com/cover/2022/05/24/1ea9d0282381c14154417e7c77e951ec - 副本.jpg
2022-05-24 18:51:34.525 [http-nio-8002-exec-5] INFO  com.tzl.oss.serivce.impl.OssServiceImpl - fileName => cover/2022/05/24/4f9ba98c882c446bac76687d9bcb3489aaaa.jpg
2022-05-24 18:51:34.526 [http-nio-8002-exec-5] INFO  com.tzl.oss.serivce.impl.OssServiceImpl - url =>http://guli-tzl.oss-cn-shanghai.aliyuncs.com/cover/2022/05/24/4f9ba98c882c446bac76687d9bcb3489aaaa.jpg
2022-05-24 18:56:42.027 [http-nio-8002-exec-4] INFO  com.tzl.oss.serivce.impl.OssServiceImpl - fileName => cover/2022/05/24/1ea9d0282381c14154417e7c77e951ec.jpg
2022-05-24 18:56:42.028 [http-nio-8002-exec-4] INFO  com.tzl.oss.serivce.impl.OssServiceImpl - url =>http://guli-tzl.oss-cn-shanghai.aliyuncs.com/cover/2022/05/24/1ea9d0282381c14154417e7c77e951ec.jpg
2022-05-24 18:56:55.797 [http-nio-8002-exec-6] INFO  com.tzl.oss.serivce.impl.OssServiceImpl - fileName => cover/2022/05/24/1ea9d0282381c14154417e7c77e951ec - 副本.jpg
2022-05-24 18:56:55.798 [http-nio-8002-exec-6] INFO  com.tzl.oss.serivce.impl.OssServiceImpl - url =>http://guli-tzl.oss-cn-shanghai.aliyuncs.com/cover/2022/05/24/1ea9d0282381c14154417e7c77e951ec - 副本.jpg
2022-05-31 13:25:24.377 [main] INFO  com.tzl.oss.OssApplication - The following profiles are active: dev
2022-05-31 13:25:25.473 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-05-31 13:25:25.476 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-05-31 13:25:25.507 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15ms. Found 0 repository interfaces.
2022-05-31 13:25:25.730 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=fb775d8f-2096-381e-be08-8aa1dfb2b052
2022-05-31 13:25:25.842 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.tzl.config.RedisConfig$$EnhancerBySpringCGLIB$$cf23a79f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-31 13:25:25.877 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-31 13:25:25.962 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
